  id  |                                                 name                                                 |         created_at         |         updated_at         | external_id 
------+------------------------------------------------------------------------------------------------------+----------------------------+----------------------------+-------------
   33 | Uruguay                                                                                              | 2012-08-01 09:00:39.043178 | 2012-10-06 00:31:06.880529 | 5796
 3922 | Jihlava                                                                                              | 2012-08-23 13:53:38.791627 | 2012-08-23 15:00:26.858562 | 1949
   12 | Germany                                                                                              | 2012-08-01 09:00:38.870027 | 2012-08-22 12:41:40.000749 | 8570
   23 | Saudi Arabia                                                                                         | 2012-08-01 09:00:38.954873 | 2012-10-13 00:31:09.114835 | 7795
   17 | Paraguay                                                                                             | 2012-08-01 09:00:38.90858  | 2012-10-06 00:31:06.993015 | 6724
   24 | Senegal                                                                                              | 2012-08-01 09:00:38.963034 | 2012-08-22 12:41:37.993092 | 6395
    3 | Brazil                                                                                               | 2012-08-01 09:00:38.792881 | 2012-10-12 00:31:08.913348 | 8256
   15 | Mexico                                                                                               | 2012-08-01 09:00:38.893424 | 2012-08-22 12:41:35.339043 | 6710
    5 | China                                                                                                | 2012-08-01 09:00:38.816776 | 2012-10-20 00:31:05.810784 | 5822
    2 | Belgium                                                                                              | 2012-08-01 09:00:38.784578 | 2012-08-22 12:41:39.004954 | 8263
   19 | Portugal                                                                                             | 2012-08-01 09:00:38.924427 | 2012-08-22 12:41:42.648823 | 8361
   18 | Poland                                                                                               | 2012-08-01 09:00:38.917203 | 2012-08-22 12:41:44.199577 | 8568
   10 | Equador                                                                                              | 2012-08-01 09:00:38.855    | 2012-08-01 09:00:38.858282 | 
   28 | Spain                                                                                                | 2012-08-01 09:00:39.001959 | 2012-08-22 12:41:38.432798 | 6720
   29 | Sweden                                                                                               | 2012-08-01 09:00:39.010293 | 2012-08-22 12:41:40.076383 | 8520
    8 | Denmark                                                                                              | 2012-08-01 09:00:38.839832 | 2012-08-22 12:41:40.790604 | 8238
   26 | South Africa                                                                                         | 2012-08-01 09:00:38.982596 | 2012-08-22 12:41:35.752511 | 6316
    4 | Cameroon                                                                                             | 2012-08-01 09:00:38.803282 | 2012-08-22 12:41:37.610695 | 6629
   31 | Turkey                                                                                               | 2012-08-01 09:00:39.028294 | 2012-08-22 12:41:45.219319 | 6595
   22 | Russia                                                                                               | 2012-08-01 09:00:38.947125 | 2012-08-22 12:41:42.674017 | 8713
   21 | R/Up Grp B                                                                                           | 2012-08-01 09:00:38.939686 | 2012-08-01 09:00:38.942864 | 
    9 | England                                                                                              | 2012-08-01 09:00:38.847306 | 2012-08-22 12:41:44.167879 | 8491
    7 | Croatia                                                                                              | 2012-08-01 09:00:38.832061 | 2012-08-22 12:41:38.965234 | 10155
   27 | South Korea                                                                                          | 2012-08-01 09:00:38.990344 | 2012-08-22 12:41:46.132446 | 7804
   30 | Tunisia                                                                                              | 2012-08-01 09:00:39.020328 | 2012-08-22 12:41:35.913206 | 6719
   14 | Japan                                                                                                | 2012-08-01 09:00:38.885932 | 2012-08-22 12:41:46.553417 | 6715
   13 | Italy                                                                                                | 2012-08-01 09:00:38.877966 | 2012-08-22 12:41:40.728048 | 8204
   16 | Nigeria                                                                                              | 2012-08-01 09:00:38.900883 | 2012-08-22 12:41:36.789047 | 6346
   32 | United States of America                                                                             | 2012-08-01 09:00:39.035778 | 2012-08-01 09:00:39.039018 | 
   34 | Windsor & E                                                                                          | 2012-08-01 09:00:39.050478 | 2012-08-01 09:00:39.054312 | 
   35 | Dandenong                                                                                            | 2012-08-01 09:00:39.058497 | 2012-08-01 09:00:39.061618 | 
   36 | Essendon                                                                                             | 2012-08-01 09:00:39.065979 | 2012-08-01 09:00:39.069275 | 
   37 | Frankston P                                                                                          | 2012-08-01 09:00:39.073373 | 2012-08-01 09:00:39.07665  | 
   38 | Diamond V                                                                                            | 2012-08-01 09:00:39.080909 | 2012-08-01 09:00:39.084436 | 
   39 | E Richmond                                                                                           | 2012-08-01 09:00:39.088702 | 2012-08-01 09:00:39.092333 | 
   40 | Geelong                                                                                              | 2012-08-01 09:00:39.096729 | 2012-08-01 09:00:39.100194 | 
   41 | Keilor                                                                                               | 2012-08-01 09:00:39.104791 | 2012-08-01 09:00:39.108237 | 
   42 | N Coburg                                                                                             | 2012-08-01 09:00:39.112961 | 2012-08-01 09:00:39.116426 | 
   43 | Sunshine                                                                                             | 2012-08-01 09:00:39.120683 | 2012-08-01 09:00:39.123977 | 
   44 | Croydon                                                                                              | 2012-08-01 09:00:39.128113 | 2012-08-01 09:00:39.131265 | 
   45 | Kingston C                                                                                           | 2012-08-01 09:00:39.135295 | 2012-08-01 09:00:39.138352 | 
   46 | Langwarrin                                                                                           | 2012-08-01 09:00:39.142945 | 2012-08-01 09:00:39.152643 | 
   47 | Monbulk                                                                                              | 2012-08-01 09:00:39.157202 | 2012-08-01 09:00:39.161152 | 
   48 | OS Waverley                                                                                          | 2012-08-01 09:00:39.165521 | 2012-08-01 09:00:39.168758 | 
   49 | Springvale C                                                                                         | 2012-08-01 09:00:39.23448  | 2012-08-01 09:00:39.239786 | 
   50 | Lalor                                                                                                | 2012-08-01 09:00:39.244233 | 2012-08-01 09:00:39.24792  | 
   51 | Melbourne C                                                                                          | 2012-08-01 09:00:39.252724 | 2012-08-01 09:00:39.256136 | 
   52 | N Sunshine                                                                                           | 2012-08-01 09:00:39.260749 | 2012-08-01 09:00:39.264769 | 
   53 | Sunbury                                                                                              | 2012-08-01 09:00:39.269844 | 2012-08-01 09:00:39.274127 | 
   54 | Knox City                                                                                            | 2012-08-01 09:00:39.279364 | 2012-08-01 09:00:39.29339  | 
   55 | Western                                                                                              | 2012-08-01 09:00:39.29807  | 2012-08-01 09:00:39.301987 | 
   56 | Westgate                                                                                             | 2012-08-01 09:00:39.306529 | 2012-08-01 09:00:39.310733 | 
   57 | Croxton                                                                                              | 2012-08-01 09:00:39.31778  | 2012-08-01 09:00:39.321516 | 
   58 | Pascoe Vale                                                                                          | 2012-08-01 09:00:39.328159 | 2012-08-01 09:00:39.331602 | 
   60 | Yarraville                                                                                           | 2012-08-01 09:00:39.336609 | 2012-08-01 09:00:39.33972  | 
   61 | Moreland                                                                                             | 2012-08-01 09:00:39.343785 | 2012-08-01 09:00:39.346978 | 
   62 | Northcote C                                                                                          | 2012-08-01 09:00:39.351234 | 2012-08-01 09:00:39.354497 | 
   63 | Morwell                                                                                              | 2012-08-01 09:00:39.359084 | 2012-08-01 09:00:39.36221  | 
   64 | Lyndale U                                                                                            | 2012-08-01 09:00:39.366324 | 2012-08-01 09:00:39.369502 | 
   65 | Stonnington                                                                                          | 2012-08-01 09:00:39.373847 | 2012-08-01 09:00:39.377194 | 
   66 | Cranbourne                                                                                           | 2012-08-01 09:00:39.381477 | 2012-08-01 09:00:39.385063 | 
   67 | Richmond                                                                                             | 2012-08-01 09:00:39.389542 | 2012-08-01 09:00:39.392838 | 
   68 | Frankston S                                                                                          | 2012-08-01 09:00:39.401544 | 2012-08-01 09:00:39.40479  | 
   69 | North City                                                                                           | 2012-08-01 09:00:39.40928  | 2012-08-01 09:00:39.412922 | 
   70 | Laverton Pk                                                                                          | 2012-08-01 09:00:39.417235 | 2012-08-01 09:00:39.420399 | 
   71 | Hoppers C                                                                                            | 2012-08-01 09:00:39.424869 | 2012-08-01 09:00:39.428602 | 
   72 | Banyule                                                                                              | 2012-08-01 09:00:39.433187 | 2012-08-01 09:00:39.436645 | 
   73 | Werribee C                                                                                           | 2012-08-01 09:00:39.442322 | 2012-08-01 09:00:39.445658 | 
   74 | Williamstown                                                                                         | 2012-08-01 09:00:39.450975 | 2012-08-01 09:00:39.454869 | 
   75 | Clayton                                                                                              | 2012-08-01 09:00:39.460547 | 2012-08-01 09:00:39.463636 | 
   95 | Chelsea                                                                                              | 2012-08-01 09:00:39.63069  | 2012-08-06 12:59:19.53314  | 8455
   77 | Doveton                                                                                              | 2012-08-01 09:00:39.476768 | 2012-08-01 09:00:39.483122 | 
   78 | Endeavour                                                                                            | 2012-08-01 09:00:39.487364 | 2012-08-01 09:00:39.491315 | 
   79 | Nunawading                                                                                           | 2012-08-01 09:00:39.495772 | 2012-08-01 09:00:39.499274 | 
   80 | Sandringham                                                                                          | 2012-08-01 09:00:39.503699 | 2012-08-01 09:00:39.509399 | 
   81 | Adelaide City                                                                                        | 2012-08-01 09:00:39.513785 | 2012-08-01 09:00:39.517629 | 
   82 | Blue Eagles                                                                                          | 2012-08-01 09:00:39.521824 | 2012-08-01 09:00:39.526701 | 
   83 | Metro Stars                                                                                          | 2012-08-01 09:00:39.531208 | 2012-08-01 09:00:39.534405 | 
   84 | Olympic                                                                                              | 2012-08-01 09:00:39.53857  | 2012-08-01 09:00:39.541811 | 
   85 | Pirates                                                                                              | 2012-08-01 09:00:39.545926 | 2012-08-01 09:00:39.549221 | 
   86 | AD Cobras                                                                                            | 2012-08-01 09:00:39.553352 | 2012-08-01 09:00:39.556711 | 
   87 | Cumberland                                                                                           | 2012-08-01 09:00:39.560867 | 2012-08-01 09:00:39.564152 | 
   88 | Enfield                                                                                              | 2012-08-01 09:00:39.56838  | 2012-08-01 09:00:39.575891 | 
   89 | Port Pirie                                                                                           | 2012-08-01 09:00:39.580284 | 2012-08-01 09:00:39.583752 | 
    6 | Costa Rica                                                                                           | 2012-08-01 09:00:38.824505 | 2012-08-22 12:41:35.332268 | 6705
   91 | Seaford                                                                                              | 2012-08-01 09:00:39.598707 | 2012-08-01 09:00:39.602297 | 
   92 | Ashfield                                                                                             | 2012-08-01 09:00:39.606937 | 2012-08-01 09:00:39.610185 | 
   93 | Corio                                                                                                | 2012-08-01 09:00:39.614793 | 2012-08-01 09:00:39.61826  | 
   94 | Altona City                                                                                          | 2012-08-01 09:00:39.622897 | 2012-08-01 09:00:39.626204 | 
   96 | Keysborough                                                                                          | 2012-08-01 09:00:39.638257 | 2012-08-01 09:00:39.642899 | 
   97 | S Springvale                                                                                         | 2012-08-01 09:00:39.647226 | 2012-08-01 09:00:39.650554 | 
   98 | Brunswick C                                                                                          | 2012-08-01 09:00:39.65543  | 2012-08-01 09:00:39.658914 | 
   99 | Clifton Hill                                                                                         | 2012-08-01 09:00:39.665486 | 2012-08-01 09:00:39.668725 | 
  100 | Ringwood C                                                                                           | 2012-08-01 09:00:39.673464 | 2012-08-01 09:00:39.677154 | 
  101 | Galaxy                                                                                               | 2012-08-01 09:00:39.681937 | 2012-08-01 09:00:39.68719  | 
  102 | Playford                                                                                             | 2012-08-01 09:00:39.693059 | 2012-08-01 09:00:39.697832 | 
  103 | Campbelltown                                                                                         | 2012-08-01 09:00:39.702352 | 2012-08-01 09:00:39.707392 | 
  104 | White City                                                                                           | 2012-08-01 09:00:39.71194  | 2012-08-01 09:00:39.717149 | 
  105 | Adelaide R                                                                                           | 2012-08-01 09:00:39.721499 | 2012-08-01 09:00:39.725312 | 
  106 | Ad Hills                                                                                             | 2012-08-01 09:00:39.729848 | 2012-08-01 09:00:39.735682 | 
  107 | Croydon K                                                                                            | 2012-08-01 09:00:39.740122 | 2012-08-01 09:00:39.743344 | 
  108 | Northern D                                                                                           | 2012-08-01 09:00:39.747688 | 2012-08-01 09:00:39.752929 | 
  109 | Western S                                                                                            | 2012-08-01 09:00:39.757504 | 2012-08-01 09:00:39.760849 | 
  110 | Panthers                                                                                             | 2012-08-01 09:00:39.765264 | 2012-08-01 09:00:39.76851  | 
  111 | Noarlunga                                                                                            | 2012-08-01 09:00:39.772735 | 2012-08-01 09:00:39.775985 | 
  112 | Joondalup                                                                                            | 2012-08-01 09:00:39.78034  | 2012-08-01 09:00:39.783655 | 
  113 | Clarence                                                                                             | 2012-08-01 09:00:39.787939 | 2012-08-01 09:00:39.791269 | 
  114 | Athena                                                                                               | 2012-08-01 09:00:39.795573 | 2012-08-01 09:00:39.798794 | 
  115 | Bassendean                                                                                           | 2012-08-01 09:00:39.803194 | 2012-08-01 09:00:39.807408 | 
  116 | Fremantle                                                                                            | 2012-08-01 09:00:39.811755 | 2012-08-01 09:00:39.815013 | 
  117 | Perth                                                                                                | 2012-08-01 09:00:39.819673 | 2012-08-01 09:00:39.822959 | 
  118 | Swan IC                                                                                              | 2012-08-01 09:00:39.827564 | 2012-08-01 09:00:39.832833 | 
  119 | Nth Rangers                                                                                          | 2012-08-01 09:00:39.837734 | 2012-08-01 09:00:39.844933 | 
  120 | Riverside                                                                                            | 2012-08-01 09:00:39.851652 | 2012-08-01 09:00:39.855201 | 
  121 | Somerset                                                                                             | 2012-08-01 09:00:39.863133 | 2012-08-01 09:00:39.86715  | 
  122 | Ulverstone                                                                                           | 2012-08-01 09:00:39.872084 | 2012-08-01 09:00:39.875547 | 
  123 | Metro                                                                                                | 2012-08-01 09:00:39.879783 | 2012-08-01 09:00:39.88432  | 
  124 | Burnie                                                                                               | 2012-08-01 09:00:39.888642 | 2012-08-01 09:00:39.89204  | 
  125 | Devonport                                                                                            | 2012-08-01 09:00:39.896356 | 2012-08-01 09:00:39.899769 | 
  126 | Cockburn                                                                                             | 2012-08-01 09:00:39.904872 | 2012-08-01 09:00:39.908632 | 
   76 | Doncaster                                                                                            | 2012-08-01 09:00:39.469207 | 2012-08-06 12:59:15.420086 | 9903
  127 | Inglewood                                                                                            | 2012-08-01 09:00:39.91531  | 2012-08-01 09:00:39.918785 | 
  128 | Future                                                                                               | 2012-08-01 09:00:39.924812 | 2012-08-01 09:00:39.928449 | 
  129 | Knights                                                                                              | 2012-08-01 09:00:39.935777 | 2012-08-01 09:00:39.939053 | 
  130 | Sorrento                                                                                             | 2012-08-01 09:00:39.943513 | 2012-08-01 09:00:39.94686  | 
  131 | Launceston U                                                                                         | 2012-08-01 09:00:39.951132 | 2012-08-01 09:00:39.954724 | 
  132 | Launceston C                                                                                         | 2012-08-01 09:00:39.959203 | 2012-08-01 09:00:39.962262 | 
  207 | St Albans                                                                                            | 2012-08-01 09:00:40.66275  | 2012-08-23 12:39:58.485453 | 10174
  134 | Lalor Utd                                                                                            | 2012-08-01 09:00:39.974549 | 2012-08-01 09:00:39.979421 | 
  135 | Oakleigh                                                                                             | 2012-08-01 09:00:39.983566 | 2012-08-01 09:00:39.986915 | 
  136 | Springvale W                                                                                         | 2012-08-01 09:00:39.991017 | 2012-08-01 09:00:39.994575 | 
